start	end	text
0	11160	Welcome to an overview of Guidewire Cloud.
11160	16760	By completing this lesson, you will be able to describe the Guidewire Cloud Applications,
16760	21880	Producer Engage, Policy Center, Customer Engage, Claim Center, and Explorer.
21880	26640	Also, you will be able to explain how Guidewire Cloud Applications help insurers meet three
26640	35640	essential imperatives, engage customers, innovate, and grow efficiently.
35640	41160	Guidewire is the platform P&C insurers trust to engage, innovate, and grow efficiently.
41160	47440	We combine digital, core, analytics, and AI to deliver insurance suite as a cloud service.
47440	51480	Insurers want to be able to engage, provide an innovative experience for their customers,
51480	54360	and ultimately make insurance convenient.
54360	59080	Insurers want to innovate and to rapidly prototype and deploy products faster than ever before.
59080	64360	And, insurers want to be able to grow efficiently, reducing IT complexity and ultimately driving
64360	69120	process improvement.
69120	72640	This course takes you on a tour of insurance suite for the cloud.
72640	78480	We focus on five personas, the broker or agent, the customer service representative or underwriter,
78480	83320	the policyholder, the claims adjuster, and then finally the insurance manager.
83320	87480	As we walk you through the policy lifecycle, you will see those strategic imperatives come
87480	88480	to light.
88480	92720	How to engage, innovate, and grow efficiently through the seamless integration of Guidewire
92720	97160	Insurance Suite, and straight through processing.
97160	102400	The first stop on our tour is Producer Engage.
102400	106640	Producer Engage is the agent-facing part of the Guidewire Cloud Platform.
106640	110560	This digital application supports end-to-end business transactions that are important to
110560	111760	an agent.
111760	116680	Through Producer Engage, agents have access to policy, billing, and claims information
116680	121040	as well as relevant tasks and activities, on a single screen.
121040	125320	Producer Engage is seamlessly integrated with Guidewire Insurance Suite for a 360-degree
125320	126880	view.
126880	132640	Producer Engage enables an agent to find a suitable insurance quote for a customer, complete
132640	141360	a quote, change or cancel a policy, and submit a claim on a client's behalf.
141360	146160	For our tour of Producer Engage, Archie Armstrong, an agent, will demonstrate how straight through
146160	151560	processing streamlines every aspect of his job.
151560	157200	Our demonstration begins with our agent, Archie Armstrong, logging into Producer Engage.
157200	161480	Archie is immediately presented with a Producer Engage dashboard, where he can see at a glance
161480	164460	everything that requires his attention today.
164460	169920	Across the top, a row of dynamic tiles provides quick access to open quotes, endorsements,
169920	173640	open cancellations, and renewals.
173640	177360	Listed below the tiles are all open activities that are assigned to Archie and are due within
177360	179280	the next seven days.
179280	183040	Each activity can be expanded to show its details.
183040	186800	Activities are actionable items that an agent can work on any time.
186800	191480	Activity details include the escalation date as well as the activity type and a brief description.
191480	197760	Currently, there are no activity notes, but Archie could add a note.
197760	201360	After Archie has completed this activity, he marks it as complete.
201360	207200	A hyperlink provides access to the related policy.
207200	208860	Notice the panel on the right.
208860	213240	This demonstrates the ability to access and display information from outside data sources
213240	216560	such as Twitter on the Producer Engage dashboard.
216560	221880	This dashboard, and in fact, all of Producer Engage, is a configurable framework.
221880	225640	The expectation is that customers will want to lightly configure the application for their
225640	231320	particular requirements and introduce their unique look and feel.
231320	235440	The tabs across the top of the screen enable an agent to access any account and to search
235440	237200	for a specific account.
237200	239240	The tiles are built-in filters.
239240	243400	You can filter on recently viewed, recently created, personal accounts, and commercial
243400	244560	accounts.
244560	249680	In the recently viewed area, hyperlinks provide the means to navigate quickly to an account.
249680	252920	Notice there are tabs to access policies and claims.
252920	256600	Producer Engage is seamlessly integrated with Policy Center and Claim Center.
256600	260200	There is also a tab for viewing activities.
260200	264040	Now that you have had a brief tour of Producer Engage, let us go to the Write Construction
264040	266160	account.
266160	269240	Here is the account summary screen for Write Construction.
269240	273480	This screen provides an agent with a 360-degree view of one account.
273480	279040	The screen exposes relevant policies, claims, and billing data, again demonstrating the seamless
279040	282400	integration between Guidewire Insurance Suite products.
282400	286720	You can see summary details that are drawn from Policy Center.
286720	291880	Producer information includes billing details from Billing Center.
291880	296920	The Claims tile provides access to data in Claim Center.
296920	303480	The Contacts tile accesses all contacts that are associated with this account.
303480	305520	Let us click Open Activities.
305520	309600	Here is a list of all open activities related to Write Construction with a button for creating
309600	311080	a new activity.
311080	315920	An agent can view open quotes, open endorsements and transactions in general, and any claims
315920	319640	associated with the account.
319640	323640	The Billing and Payment tile provides access to billing information for the account.
323640	328040	Here, you can set up automatic payments and manually make payments.
328040	331360	Notice the Billing Health check for the account.
331360	335180	Let us return to the summary screen where our Producer can start a new quote.
335180	339320	To initiate a new quote for Write Construction, Archie would start by clicking New Quote for
339320	340320	this account.
340560	345520	Suppose, however, another customer calls while he is viewing the Write Construction account.
345520	349280	Archie can simply click Start New Quote, and he will be prompted to start a quote for any
349280	350760	account.
350760	354080	Archie clicks New Quote for this account to start the submission workflow.
354080	356960	First, he selects his Producer Code.
356960	361160	The Producer Code restricts the products that a given agent can sell.
361160	369480	Archie chooses a commercial property submission for this example.
370480	377600	This is a function of the submission workflow, which is designed to be streamlined and intuitive,
377600	381680	reducing potential customer frustration and redundancy and minimizing the potential for
381680	383840	error.
383840	388120	After Archie clicks Next, the submission work tree is displayed on the left side, showing
388120	391360	the steps of the wizard-driven workflow.
391360	395440	The next step is to add buildings and locations to the submission.
395440	399360	An agent could capture buildings and locations by adding each one manually.
399360	405720	However, Archie chooses to upload an SOV, statement of values, by means of an Excel spreadsheet.
405720	409560	To get started with uploading spreadsheets, you must download the pre-formatted template
409560	411760	first.
411760	420320	Archie selects an SOV that was created earlier.
420320	424600	In a matter of seconds, nine buildings have been imported into Producer Engage.
424600	428480	As you can imagine, this facility is a real-time saver.
428480	432720	Customers working with legacy systems typically need to manually key in all information concerning
432720	434680	buildings and locations.
434680	437160	This task can take hours to accomplish.
437160	441560	The ability to import effortlessly these nine buildings and feed the data into the workflow
441560	444440	significantly streamlines the operation.
444440	448400	Archie chooses building number one for the main office.
448400	451920	Let us take a look at everything that was captured with a click of a button.
451920	455880	Here is the full address with the territory code, the building number, and the property
455880	458160	class code.
458160	462360	All of the coverages have been defaulted based on guidewire offerings, which are essentially
462360	465680	packages of coverages and limits for specific risks.
465680	470360	By using default values for all the coverages, the workflow provides a straight-through, low-touch
470360	472440	underwriting environment.
472440	476520	Of course, Archie can choose to modify the coverages, but the more he deviates from the
476520	480160	defaulted values, the more data he will need to provide.
480160	483720	And the less streamlined the quote cost becomes.
483720	486120	Let us scroll through the coverages.
486120	490560	You can see the building coverage, the business personal property coverage, the business income
490560	495400	coverage, and extra expense coverage as well.
495400	497440	Archie can edit any of these coverages.
497440	500640	However, he decides to accept all the defaults.
500640	506320	He returns to the buildings and locations screen and clicks next.
506320	510040	Now that all nine buildings with limits and coverages have been captured, the workflow
510040	512800	sends the information over to the rating engine.
512800	517480	In the process, any business, underwriting, and reinsurance rules are run against risks
517480	521080	before the rating engine returns the total cost of the quote.
521080	525300	In a matter of minutes, Archie has gone from submission to quoted on a nine-schedule commercial
525300	526800	property quote.
526800	528320	That is impressive.
528320	532520	Archie clicks next and scans the policy information to be sure it is correct.
532520	536200	Notice the email and phone data has been populated with information that was stored with the
536200	539880	account.
539880	542260	The payment details screen is next.
542260	546280	This screen is populated with information drawn from billing center, which includes payment
546280	548700	details and a list of pay plans.
548700	552040	As a side note, guide wire can handle any type of pay plan.
552040	555720	These are created in billing center and exposed on the digital layer.
555720	561360	Archie selects the first plan in the list with 10% down payment and monthly installments.
561360	570440	In the payment options area, Archie enters the payment details and clicks buy now to
570440	576440	kick off the process of binding and issuing the policy.
576440	578320	The payment has been successful.
578320	581620	A unique policy number has been attached to the policy.
581620	588120	This number is hyperlinked in case the agent wants to view or edit the policy data.
588120	591260	If Archie needs to make a change, he can do so here.
592260	593660	He can renew or cancel the policy.
593660	597940	He can also populate the declaration page and print and send the ID cards.
597940	603220	The screen provides all this capability, some of which can also be automated.
603220	611140	Here is the transaction for the new policy with a premium of $29,934.
611140	615900	In this example, you saw how quickly an agent can bind and issue a policy using guide wire
615900	618980	straight through processing workflow capabilities.
618980	623060	Now let us see what happens when an underwriting rule interrupts the process of a new commercial
623060	624780	property submission.
624780	628740	Let us return to the right construction account, where the new policy is listed under issued
628740	630740	policies.
630740	643620	As in the earlier demonstration, Archie starts a new commercial property submission.
643620	655140	He finds and selects the SOV file to upload the spreadsheet.
655140	659220	And here are the nine buildings.
659220	663240	For the purposes of this example, we have created an underwriting rule that raises an
663240	670140	underwriting issue for any building that was constructed earlier than 1990.
670140	674700	Archie opens the main office building number one location to edit the building details.
674700	682380	He types 1984 for the year built and saves the changes.
682380	688060	Then he continues with the same workflow that you saw earlier.
688060	693820	Again, the workflow sends a submission to the rating engine, which returns the total
693820	695340	cost of the quote.
695340	699100	The underwriting rule could have fired now, when the rating engine returns the premium
699100	700100	amount.
700100	705180	However, the rule was designed to fire after Archie selects a pay plan for the policy.
705180	714620	This means all the data will have been captured before the underwriting referral occurs.
714620	727540	Archie enters payment information and clicks buy now.
727540	732820	The underwriting rule fires and returns an error, as we expected.
732820	734500	Archie clicks OK.
734500	738220	An alert on the quote screen informs the agent that underwriting issues have been raised
738220	739500	for this quote.
739500	743900	The issue listed under underwriting issues is building older than 1990, which has blocked
743900	747180	the bind.
747180	751140	Archie decides to refer the issue to the underwriter.
751140	756780	First, he adds a brief note that tells the underwriter it is part of a larger account
756780	758380	that is clean account.
758380	768380	See main office number one.
768380	771900	He clicks confirm.
771900	775300	The quote has been referred to the assigned underwriter for review.
775300	779900	An activity has been created for the underwriter review and approval.
779900	785780	Immediately, Archie sees the new activity, review and approve for commercial property
785780	789820	for right construction assigned to Christine Kraft, the underwriter.
789820	799460	The activity was created by Archie Armstrong with a note for Christine Kraft.
799460	805220	The next stop on our tour of insurance suite for the cloud is policy center.
805220	810100	Policy center provides full end to end policy management and issuance functionality including
810100	815300	quoting, rating, underwriting, policy generation, and statistical reporting.
815300	820260	It offers seamless integration between core functionality and predictive analytics.
820260	826460	Policy center enables agents and underwriters to create and manage policies, handle inquiries
826460	833780	and service accounts, evaluate risks, view policies, create activities.
833780	839860	Policy center brings efficiency to every step from submission to renewal.
839860	844780	In the previous demonstration, we met Archie Armstrong, an agent who created two submissions
844780	846660	using producer engage.
846660	851060	The second submission raised an underwriting issue because of an older building.
851060	855260	In this next demonstration, we meet Christine Kraft, the underwriter who was assigned at
855260	859340	the issue.
859340	862780	Christine Kraft begins by logging into policy center.
862780	866900	Policy center is a role based application, which means everything from screen flow to
866900	872220	access to data is based on permissions granted to Christine's role as an underwriter.
872220	874860	The summary screen is Christine's desktop.
874860	878220	As you can see, the desktop is designed for ease of use.
878220	882300	All the data that is pertinent to Christine's role is either displayed on the screen or is
882300	884500	available at the click of a button.
884500	888140	Here is the review and approve activity for right construction that was just sent from
888140	890180	producer engage.
890180	893940	Before Christine opens the activity, let us take a few minutes to take a brief tour of
893940	895300	policy center.
895300	898940	I have already mentioned the intuitive design of the summary screen.
898940	903380	Like producer engage, policy center is a framework that is intended to be lightly configured
903380	905140	by each customer.
905140	908700	The sidebar on the left contains the actions menu at the top.
908700	910100	This menu is dynamic.
910100	914820	The available menu options vary based on the current context and the role of the user.
914820	923300	For example, from the summary screen, Christine can create a new submission or a new account.
923300	927900	In addition, the sidebar provides menu links for quick access to the summary screen to
927900	932100	activities, submissions, renewals, and so on.
932100	937660	Across the top are tabs for accessing accounts, policies, contacts, and search.
937660	939700	Christine can search by account number.
939700	944220	She can select new account or, on the policy tab, start a new submission.
944220	947140	Policy center has sophisticated search functionality.
947140	951780	The built-in search uses solid platform capability, which provides features such as sounds like
951780	953620	and fuzzy search.
953620	958540	The options available on the administration tab are based on Christine's role and permissions.
958540	963860	Users and security gives her access to users, organizations, producer codes, and so on.
963860	973180	Now, let us look at the right construction account.
973180	976300	Christine clicks the link to the account holder summary dashboard.
976300	980060	An account holder is the primary contact associated with an account.
980060	984780	This screen provides a complete 360-degree picture of the customer relationship and current
984780	988980	interactions by displaying data across all accounts for which the contact is the account
988980	989980	holder.
989980	994980	The account holder summary is especially useful for customer service representatives.
994980	998500	Notice the billing and claims health check on the right-hand side of the screen.
998500	1004580	Below are the policies owned by right construction, any open policy transactions, and open claims.
1004580	1008780	Christine can access the details for a policy or claim by clicking the hyperlink reference
1008780	1009780	number.
1009780	1014540	Again, thanks to seamless integration of insurance suite, she can view policy, claim, and billing
1014540	1017780	data all on the same screen.
1017780	1021420	Christine scrolls back to the top and clicks the link to the account summary for right
1021420	1027620	construction.
1027620	1033380	The overview area provides the ability to recalculate the three-year premium, loss ratio, and total
1033380	1034380	losses.
1034380	1041580	Below that is the billing health check.
1041580	1045740	Here is a list of current activities, then then a list of enforced policies.
1045740	1051780	Christine clicks the first policy number to view the latest policy for right construction.
1051780	1056340	The policy summary screen focuses on a single policy and provides the ability to calculate
1056340	1062820	the term financials at the policy level.
1062820	1066900	On the my summary screen, Christine examines the recent activity that was sent over by
1066900	1071740	Archie Armstrong, our agent.
1071740	1076100	The activity detail indicates this is a review and approve activity.
1076100	1078300	Christine clicks view notes for details.
1078300	1082020	She sees that this is part of a larger account, which is a clean account.
1082020	1084340	See the main office first location.
1084340	1089180	She puts the submission in edit mode, in case she needs to make any changes.
1089180	1093060	Notice this editable submission has a similar format to the wizard driven workflow that you
1093060	1094740	saw in producer engage.
1094740	1099180	However, as an internal user with the role of underwriter, Christine has more access
1099180	1103380	than agents have when using producer engage.
1103380	1105620	Christine clicks buildings and locations.
1105620	1109220	She knows to look specifically at main office building number one.
1109220	1113380	She notes that the year built is 1984, as Archie entered it.
1113380	1116700	Christine realizes the age of the building should not be a problem because the account
1116700	1119820	is clean, and this is only one of several buildings.
1119820	1125540	This screen provides the same import or export capability that Archie used in producer engage.
1125540	1130300	From here, Christine can proceed to rate the risk.
1130300	1134340	She is routed to the quote screen, where you can see the total cost broken out by total
1134340	1138100	premium and taxes and surcharges.
1138100	1140300	There are also two errors displayed in red.
1140300	1144940	The first error states, this policy has one or more outstanding contingencies.
1144940	1150060	The second error says, this quote will require underwriting approval prior to binding.
1150060	1153740	These messages proactively let the underwriter know that there are some items that need to
1153740	1156780	be taken care of before the policy can be issued.
1156780	1160700	If Christine tries to finish quote, the pre quote issues screen lists the issues that
1160700	1162460	are blocking the quote.
1162460	1165860	Christine's next step is to go to the risk analysis tab and approve the issues that
1165860	1167700	are blocking bind.
1167700	1169860	She clicks the risk analysis tab.
1169860	1173420	The underwriting issues tab is where Christine can view the issues that are blocking the
1173420	1177940	quote and either approve them and continue on with the workflow or reject them.
1177940	1185020	If she approves the issue, she can then bind and issue the policy.
